labels,sentences
1,Wow When I went to this film at the Toronto film festival I had no idea what I was in for This movie takes you on an emotional rollercoaster in the best sense of the term Sigourney Weaver was better than Ive seen from her in years Emile Hirsch was great and Jeff Daniels broke my heart I can see how this wont be every persons cup of tea as at times it deals with some pretty harsh things that can happen to a family Dont get me wrong  its really funny too  at my screening the audience burst out in applause after laughing over and over again I just think if youre open to examining your own life Imaginary Heroes will sincerely touch you I cant wait until it comes out in theaters
1,Most families will recognise similarities between their own family and that created through brilliant acting by Natalie Portman and Susan Sarandon Natalie creates an on screen image that justifies her as one of the best actresses in America and one worthy of a Golden Globe Nomination The control of her emotions are so in tact that at any point in the movie she can tap into them and release an unforgettable scene Susan is also amazing in this movie as yet again she chose a role that is so different to any other and carries it through with true professionalism Any Natalie fan wouldve seen the film based on her past successes but you should also see it for the emotions that are released during the film It is a truly humbling experience
1,Got the chance to see this at a friends house today and was impressed with what it achieved on such a small budget Not that this ever bothered me anyway since I love low budget scifi like Dr Who Blakes 7 and Dark Star Hell even Outland wasnt a big budget affair so whilst money helps it takes more than throwing cash at things to make them good The story is straightforward at first with a group of mercenaries paid to escort a prisoner through space Their ship is attacked and they are forced to land on the nearest planet They then discover the prisoner has made it too hes a stone cold nut case and thats only the start of their problems The effects except for the gunfights are minimalistic and add to the film without overwhelming it Computer effects look a bit dodgy at times but serve their purpose well and add to the story lending a futuristic feel to the proceedings Films like I Robot could have benefited from this approach instead of being largely style over substance and substituting special effects for a plot like all too many of Hollywoods offerings Whilst none of the actors get Oscar material its tightly scripted and shot and at an hour and ten minutes doesnt outstay its welcome The characters dont get fleshed out much but then they didnt in Predator either which it resembles in feel Big man Mike Mitchell is a good stand in for Arnie and is a good combination of brains and brawn Some people may be annoyed at the lack of explanation towards the end but I like it Unlike a lot of films and shows which leave things unexplained it is not so obscure that you cant get a handle on it at all and Id like to see a sequel where the nature of the aliens is explored further A cracking little film from an enterprising team done on the cheap but a fun way to pass an hour If this is what they can do on a shoestring Id like to see what they would do with a bit more cash and hope the film industry and the talentless armchair critics dont knock all the creativity out of them first Recommended
1,Its a short movie for such immense feelings The last 20 or so minutes are among the most intense in the recent years of the industry Huston John is dying and only love can make the difference The actors work in the long evening scene is absolutely marvellous
1,I agree with with of the messages on here that the book is not like the movie I read the book as a sophomore in high school in Sumter SC I instantly fell in love with the book and eagerly awaited the release of the mini series As much as I liked the movie and thought it was very well done I was disappointed that the movie did not follow the book I was glad the Orry was not killed off like he was in Love and War or NS II Having grown up in SC and graduating from University of SC I fell in love with southern history because of this mini series and book I had the honor of meeting John Jakes at a symposium in 1988 at USC I stayed around afterwards and meet MrJakes Unfortunately I did not get to ask him a question But meeting him was honor enough I majored in accounting but got my minor in Southern Studies In addition I patterned a lot of my mannerisms after Orry Main Orry and myself are very much alike I feel I was born 150 years too late I am a southern gentleman and very proud of this Well I fell in love with 2 women in the movieGenie Francis and Wendy Kilbourne Man did I have the hots for Wendy I never quite could find a real life version of her I hope one day too
1,It kept me on the edge of my seat True the story has a few plot holes but the sheer tension of it the way the director just keeps challenging the premise is simply fascinating José Coronado and Adriana Ozores are two of Spains best actors see La vida mancha and Héctor and here they appear as a happy uppermiddle class couple Beneath it all the truth is that all of Coronados life is a lie Hes not an economist never went to college or does not work in Spains Central Bank Reserve as everybody else believes We get a few insights as to how he kept up appearances or manage to do it and while not very plausible it is still somehow believable The innerworkings of the scam are shown intermittently but it is credible because Coronado is a source of selfassurance and assertiveness He not only believes in the scam he also believes in the film premise and therefore he carries it Sure it tests belief that a wife would not know the inner workings of a marriages finances for almost 10 years but again since hes supposedly a brilliant economist It has been said in a nationalistic tone that the movie is not distinctively Spanish as if that were a litmus test for good film True no castanets or odd cabbies in this one just a taut thriller Youll want to know how this story ends once you start watching
1,This is such an exciting documentary it was by far one of the most fun films Ive ever seen I highly recommend it to anyone Its such a fun look at different musical styles exciting people at the crossroads between modern and traditional that is Istanbul and great cinematography that captures beautiful scenes in Istanbul and Thrace Watching the film made me want to book a flight for Istanbul right away Great footage of Ceza a Turkish rapper  Also his sister Ayben rapping  she is awesome Priceless performances by amazing Turkish musicians Orhan Gencebay Sezen Aksu Muzeyyen Senar The gorgeous voice of Aynur singing in Kurdish And amazing clarinet and signing of a romany gypsy group from Thrace Last but not least Istanbul bands mixing Turkish music and rock as well as trance music  Baba Zula Orient Expressions Duman and others
1,George Cuckor known as a director of women couldnt have hoped for two more talented and beautiful women for his last film Itself a remake of Bette Davis campy Old Acquaintance written by John Van Druten this film is definitely dated but still delightful Bergen and Bisset sparkle as best friends who compete at everything but manage to remain friends Liz Hamilton Bisset is a serious writer intellectual and elegant She meets her lifelong best friend Merry Noel at an exclusive girls school and they begin a lifetime of not always friendly competition Later in their lives when Liz is a promising but blocked writer of serious fiction Merry decides to try her hand at writing which infuriates her pal because of Merrys casual approach to the craft she herself takes perhaps a little too seriously  Much to Lizs chagrin Merrys trashy novels hit pay dirt and ultimately her old friend Liz is judging her novel for the National Book Award Bergen steals the show as the haughty writer of steamy bestsellers who schemes to bring together the broken pieces of her life in conjunction with her final literary triumph but alas things are never that simple The supporting cast includes David Selby whom you might remember as the tragic Quentin Collins from Dark Shadows Hart Bochner and of course a deliciously young and mercurial Meg Ryan in her first film role since leaving the soaps  Rich and Famous is catty campy witty and wise It culminates in a New Years fiasco that stresses the enduring nature of true friendship and I never let a year go by without watching it on New Years Eve Watch it and youll see why
1,I just got this movie for Christmas and have already added it to my favorites list A cute and simple story which makes a beautiful movie Who could not love Uncle Felix or not have their mouth water at the sound of all that food Definite points go to Sydney Greenstreet for his performance of Alexander Yardley and also to Reginald Gardiner who played John Sloane the impossibly boring fiancee Truly a gem to be watched every Christmas
1,I have never been as surprised by a film that was this old Only The Treasure of the Sierra Madre holds up this well performancewise As someone that has seen heroin addiction firsthand I was shocked at how realistic this film was Frank Sinatras performance is completely uncompromising realistic and heart wrenching Otto Premingers direction is perfect for the film with long takes and a very mobile camera Kim Novaks performance is good as is Eleanor Parkers In fact the entire supporting cast works very well with understated performances as befitting this films style The documentary style is part of what keeps this film up to date Highly recommended 80 out of 10
1,Based upon the novel The Dismissal by Ermanno Rea in essence the storys about the slow friendship that develops between an Italian maintenance technician Vincenzo Buonavolonta Sergio Castellitto who can be seen as the villainous King in Prince Caspian and was the lead in Bella Martha and a Chinese translator Liu Hua Ling Tai They set off actually on the wrong foot with the former chastising the latter for her inaccurate and slow translations of what he wanted to tell a Chinese delegate who had bought equipment that is faulty Vincenzo wants to do the right thing which is rare in these days and that is to tell the prospective buyers upfront the faults as well as the intricacies that their purchase would bring and given that hes disturbed by the fact that the deal still went ahead he takes time off to craft a component that would set things right But that also means to travel to China in search of the elusive machine which proves to be well hidden and seemingly having vanished without a trace With the initial reluctant help of Liu Hua they set off in this treasure hunt from city to city which brings us to lesser seen sights of China away from the Beijings and the Shanghais to cities like Wuhan with industrial like backdrops such as steel mills and nuclear plants with their smoke stacks dotting the scenery The mighty Yangtze River also makes an appearance Along the way the usual trappings of such travelogue styled movies come into play such as the learning of culture ideals food and basically the understanding that the world is without strangers if only one makes an effort to try and connect While hints of some romance between the two leads are suggested it rarely made itself to be a moot point until perhaps late in the movie hey opposites attract no Besides the major industrial plants and factories We get to see various cottage industry like seamstresses working in sweat shop like environments and I believe Cotton too along with noodle making As a film it provided me the travelling opportunity without leaving my seat to observe and credit to it for not passing judgement from a moral high ground on exploitation and the likes And kudos too for the movie to engage in dialogue based on the characters native tongues rather than and I shall not name names here some other movie  crosscultural collaborations where dialogue is forceddubbed and came off unnatural and truly irksome Some might deem the supporting characters to be too kind too always opening their arms and doors to a foreigner but I would like to imagine that maybe in the more rural areas people in general tend to be more sincere friendly and basically not get caught up in the rat race to trample on others or be trampled upon If theres a message to take away from the movie besides the fact that I mentioned that the world is without strangers is a reminder to myself that some of the stuff I deem important may not be so to others Importance is something one places upon something else and its basis really depends on how we define the boundaries we set So given our finite lifetime I think I should lighten up a bit more live and let live and sometimes bask in the illusion that ignorance could be bliss
1,Possibly the best John Travolta role ever Saturday Night Fever was a great movie  role but a LONG time ago I cant think of many of his movies or roles Ive even liked and its easy to think of rotten ones He can do meanies like in Pulp Fiction but he makes the perfect funky angel and its hard to imagine anyone doing a better equally slobby job with it Plot summaries are available everywhere but the plot isnt the point Just go for the ride and enjoy the cleverness of the little funnies along the way There is nothing to dislike about this movie unless one is searching for something profound I wish there were more movies like this We need a break from deep or awesome or grisly or complex or hysterical
1,I channel surfed past this many times mainly because the synopsis sounded so cheesy so Love American Style However it turned out to be quite good very well done The two standout features are the dialog and acting Great cast The premise is actually well executed and there arent too many weak moments I guess what I was most amazed by was how often you thought the wheels are going to come off the cart and instead the cart just banks the turns so to speak and the movie keeps flying There are some nice little subplots particularly the relationship that develops between the character played by former Conan sidekick Andy Richter Also want to mention that the music accompanying it was good
1,In a wordmagical And SO incredibly real Vijay Raaz is so incredibly raw so incredibly vulnerable that you just want his characters to succeed in whatever he does And he plays Hari Om impeccably from his absolutely perfect Bollywood eshtyle to his awkward shy manner with a first kiss He is a truly gifted actor and I wouldnt hesitate to see him in anything because he brings it all to life and gives it a soul Camille Natta is absolutely gorgeous It took some time for me to warm up to her possibly because she plays the role of an ignorant but fascinated tourist so well Her transition really became her and she molded into her role very well Even the man you love to hate her boyfriend Benoit was wonderful though you never really like him for the scum that he plays JeanMarie Lamour enacts a perfect cad The script so real I found myself turning to my friend repeatedly throughout the film to say thats exactly what happens in India they nailed it Very real very raw VERY bittersweet but you certainly leave the theater feeling fulfilled Music by Nitin Sawhney is wonderful and goes perfectly with the constantly changing moods But Vijay RaazI find myself constantly coming back to him because he is what MAKES this movie He is the hero the most charming disarming rickshaw driver you will ever encounter hes magical A lovely real sweet incredibly talented actor who I cannot wait to see shine and succeed in Bollywood Hollywood or anywhere
